1_1_2012-11-02,24472.5816476
1_1_2012-11-09,21673.7833492
1_1_2012-11-16,20499.6682542
1_1_2012-11-23,20736.9987456
1_1_2012-11-30,21474.4580213
1_1_2012-12-07,21795.9584022
1_1_2012-12-14,23078.6035755
1_1_2012-12-21,23285.90657
1_1_2012-12-28,22257.8210803
1_1_2013-01-04,21356.7053709
1_1_2013-01-11,21013.5921072
1_1_2013-01-18,21190.3443062
1_1_2013-01-25,21341.2415476
1_1_2013-02-01,21714.1552911
1_1_2013-02-08,22105.3907199
1_1_2013-02-15,22013.4142342
1_1_2013-02-22,21644.3386057
1_1_2013-03-01,21340.7307352
1_1_2013-03-08,21273.3476961
1_1_2013-03-15,21311.6225567
1_1_2013-03-22,21408.5312917
1_1_2013-03-29,21586.7302036
1_1_2013-04-05,21681.0354271
1_1_2013-04-12,21614.0524302
1_1_2013-04-19,21474.7252592
1_1_2013-04-26,21383.90256
1_1_2013-05-03,21363.68014
1_1_2013-05-10,21380.2344003
1_1_2013-05-17,21436.3605754
1_1_2013-05-24,21501.6353354
1_1_2013-05-31,21520.7647023
1_1_2013-06-07,21485.6870628
1_1_2013-06-14,21436.592066
1_1_2013-06-21,21408.2909807
1_1_2013-06-28,21401.5440453
1_1_2013-07-05,21413.0011183
1_1_2013-07-12,21438.6778504
1_1_2013-07-19,21460.3879833
1_1_2013-07-26,21461.8831686
1_2_2012-11-02,47379.3091274
1_2_2012-11-09,46029.1211957
1_2_2012-11-16,46495.2189032
1_2_2012-11-23,46015.3642898
1_2_2012-11-30,46743.3849294
1_2_2012-12-07,46421.3271584
1_2_2012-12-14,45852.1704321
1_2_2012-12-21,45584.9866901
1_2_2012-12-28,45672.8339502
1_2_2013-01-04,46203.8209062
1_2_2013-01-11,46079.8428407
1_2_2013-01-18,46196.5519679
1_2_2013-01-25,46114.0885396
1_2_2013-02-01,46294.4323571
1_2_2013-02-08,46168.4872358
1_2_2013-02-15,46129.7599061
1_2_2013-02-22,46037.1445049
1_2_2013-03-01,46068.6540693
1_2_2013-03-08,46102.7881594
1_2_2013-03-15,46112.2418085
1_2_2013-03-22,46124.4703064
1_2_2013-03-29,46123.4059603
1_2_2013-04-05,46151.5318783
1_2_2013-04-12,46133.4214007
1_2_2013-04-19,46129.6258614
1_2_2013-04-26,46109.8509104
1_2_2013-05-03,46116.5997108
1_2_2013-05-10,46114.4344283
1_2_2013-05-17,46119.6084223
1_2_2013-05-24,46119.3255041
1_2_2013-05-31,46122.6369762
1_2_2013-06-07,46125.5495511
1_2_2013-06-14,46124.7132269
1_2_2013-06-21,46123.6361815
1_2_2013-06-28,46120.6852773
1_2_2013-07-05,46121.2657989
1_2_2013-07-12,46120.3031907
1_2_2013-07-19,46121.205094
1_2_2013-07-26,46120.8607485
1_3_2012-11-02,8166.5845962
1_3_2012-11-09,8709.42880031
1_3_2012-11-16,10042.689746
1_3_2012-11-23,11147.2281451
1_3_2012-11-30,12055.0751084
1_3_2012-12-07,13052.3953053
1_3_2012-12-14,13577.6558107
1_3_2012-12-21,14208.4201768
1_3_2012-12-28,14490.7309655
1_3_2013-01-04,14553.8357168
1_3_2013-01-11,14533.5299064
1_3_2013-01-18,14382.9556297
1_3_2013-01-25,14108.2562967
1_3_2013-02-01,13846.7426246
